Ligas,Equipo,Nombre,Dorsal,Edad,Nacionalidades,Valor de mercado,concat_id,matched_name,score,full_name
La Liga,Villarreal,Aissa Mandi,23,32,"Argelia, Francia",2000000,La Liga-Villarreal-Aissa Mandi,La Liga-Villarreal-Aissa Mandi,100,La Liga-Villarreal-Aissa Mandi
La Liga,Villarreal,Alfonso Pedraza,24,27,Espana,12000000,La Liga-Villarreal-Alfonso Pedraza,La Liga-Villarreal-Alfonso Pedraza Sag,95,La Liga-Villarreal-Alfonso Pedraza Sag
La Liga,Villarreal,Alberto Moreno,18,31,Espana,2000000,La Liga-Villarreal-Alberto Moreno,La Liga-Villarreal-Alberto Moreno Perez,95,La Liga-Villarreal-Alberto Moreno Perez
La Liga,Villarreal,Carlos Romero,37,22,Espana,2000000,La Liga-Villarreal-Carlos Romero,La Liga-Villarreal-Carlos Romero Serrano,95,La Liga-Villarreal-Carlos Romero Serrano
La Liga,Villarreal,Juan Foyth,8,26,"Argentina, Espana",25000000,La Liga-Villarreal-Juan Foyth,La Liga-Villarreal-Juan Marcos Foyth,95,La Liga-Villarreal-Juan Marcos Foyth
La Liga,Villarreal,Adria Altimira,26,22,Espana,2000000,La Liga-Villarreal-Adria Altimira,La Liga-Villarreal-Adria Altimira Reynaldos,95,La Liga-Villarreal-Adria Altimira Reynaldos
La Liga,Villarreal,Ramon Terrats,20,23,Espana,4000000,La Liga-Villarreal-Ramon Terrats,La Liga-Villarreal-Ramon Terrats Espacio,95,La Liga-Villarreal-Ramon Terrats Espacio
La Liga,Villarreal,Etienne Capoue,6,35,"Francia, Guadalupe",2000000,La Liga-Villarreal-Etienne Capoue,La Liga-Villarreal-Etienne Rene Capoue,95,La Liga-Villarreal-Etienne Rene Capoue
La Liga,Villarreal,Francis Coquelin,19,32,"Francia, Reunion",2000000,La Liga-Villarreal-Francis Coquelin,La Liga-Villarreal-Francis Joseph Coquelin,95,La Liga-Villarreal-Francis Joseph Coquelin
La Liga,Villarreal,Denis Suarez,22,30,Espana,2000000,La Liga-Villarreal-Denis Suarez,La Liga-Villarreal-Denis Suarez Fernandez,95,La Liga-Villarreal-Denis Suarez Fernandez
La Liga,Villarreal,Yeremy Pino,21,21,Espana,30000000,La Liga-Villarreal-Yeremy Pino,La Liga-Villarreal-Yeremy Jesus Pino Santos,95,La Liga-Villarreal-Yeremy Jesus Pino Santos
La Liga,Villarreal,Bertrand Traore,25,28,Burkina Faso,10000000,La Liga-Villarreal-Bertrand Traore,La Liga-Villarreal-Bertrand Isidore Traore,95,La Liga-Villarreal-Bertrand Isidore Traore
La Liga,Villarreal,Ilias Akhomach,27,19,"Marruecos, Espana",3000000,La Liga-Villarreal-Ilias Akhomach,La Liga-Villarreal-Ilias Akhomach Chakkour,95,La Liga-Villarreal-Ilias Akhomach Chakkour
La Liga,Villarreal,Gerard Moreno,7,31,Espana,15000000,La Liga-Villarreal-Gerard Moreno,La Liga-Villarreal-Gerard Moreno Balaguero,95,La Liga-Villarreal-Gerard Moreno Balaguero
La Liga,Villarreal,Alexander Sorloth,11,28,Noruega,14000000,La Liga-Villarreal-Alexander Sorloth,La Liga-Villarreal-Alexander Sorloth,100,La Liga-Villarreal-Alexander Sorloth
La Liga,Villarreal,Jose Luis Morales,15,36,Espana,2500000,La Liga-Villarreal-Jose Luis Morales,La Liga-Villarreal-Jose Luis Morales Nogales,95,La Liga-Villarreal-Jose Luis Morales Nogales
La Liga,Villarreal,Jorge Pascual,30,20,Espana,1000000,La Liga-Villarreal-Jorge Pascual,La Liga-Villarreal-Jorge Pascual Medina,95,La Liga-Villarreal-Jorge Pascual Medina
La Liga,Celta Vigo,Ivan Villar,13,26,Espana,2000000,La Liga-Celta Vigo-Ivan Villar,La Liga-Celta Vigo-Ivan Villar Martinez,95,La Liga-Celta Vigo-Ivan Villar Martinez
La Liga,Celta Vigo,Vicente Guaita,25,37,Espana,1000000,La Liga-Celta Vigo-Vicente Guaita,La Liga-Celta Vigo-Vicente Guaita Panadero,95,La Liga-Celta Vigo-Vicente Guaita Panadero
La Liga,Celta Vigo,Unai Nunez,4,27,Espana,6000000,La Liga-Celta Vigo-Unai Nunez,La Liga-Celta Vigo-Unai Nunez Gestoso,95,La Liga-Celta Vigo-Unai Nunez Gestoso
La Liga,Celta Vigo,Carl Starfelt,2,28,Suecia,5000000,La Liga-Celta Vigo-Carl Starfelt,La Liga-Celta Vigo-Carl Anders Theodor Starfelt,95,La Liga-Celta Vigo-Carl Anders Theodor Starfelt
La Liga,Celta Vigo,Joseph Aidoo,15,28,Ghana,4000000,La Liga-Celta Vigo-Joseph Aidoo,La Liga-Celta Vigo-Joseph Aidoo,100,La Liga-Celta Vigo-Joseph Aidoo
La Liga,Celta Vigo,Carlos Dominguez,28,23,Espana,700000,La Liga-Celta Vigo-Carlos Dominguez,La Liga-Celta Vigo-Carlos Dominguez Caceres,95,La Liga-Celta Vigo-Carlos Dominguez Caceres
La Liga,Celta Vigo,Mihailo Ristic,21,28,"Serbia, Bosnia y Herzegovina",1400000,La Liga-Celta Vigo-Mihailo Ristic,La Liga-Celta Vigo-Mihailo Ristic,100,La Liga-Celta Vigo-Mihailo Ristic
La Liga,Celta Vigo,Oscar Mingueza,3,24,Espana,6000000,La Liga-Celta Vigo-Oscar Mingueza,La Liga-Celta Vigo-Oscar Mingueza Garcia,95,La Liga-Celta Vigo-Oscar Mingueza Garcia
La Liga,Celta Vigo,Javier Manquillo,22,29,Espana,2000000,La Liga-Celta Vigo-Javier Manquillo,La Liga-Celta Vigo-Javier Manquillo Gaitan,95,La Liga-Celta Vigo-Javier Manquillo Gaitan
La Liga,Celta Vigo,Kevin Vazquez,20,30,Espana,1000000,La Liga-Celta Vigo-Kevin Vazquez,La Liga-Celta Vigo-Kevin Vazquez Comesana,95,La Liga-Celta Vigo-Kevin Vazquez Comesana
La Liga,Celta Vigo,Jailson,16,28,Brasil,1500000,La Liga-Celta Vigo-Jailson,La Liga-Celta Vigo-Jailson Marques Siqueira,90,La Liga-Celta Vigo-Jailson Marques Siqueira
La Liga,Celta Vigo,Luca de la Torre,14,25,"Estados Unidos, Espana",3000000,La Liga-Celta Vigo-Luca de la Torre,La Liga-Celta Vigo-Lucas Daniel de la Torre,90,La Liga-Celta Vigo-Lucas Daniel de la Torre
La Liga,Celta Vigo,Carlos Dotor,6,22,Espana,2500000,La Liga-Celta Vigo-Carlos Dotor,La Liga-Celta Vigo-Carlos Dotor Gonzalez,95,La Liga-Celta Vigo-Carlos Dotor Gonzalez
La Liga,Celta Vigo,Hugo Sotelo,30,20,Espana,1000000,La Liga-Celta Vigo-Hugo Sotelo,La Liga-Celta Vigo-Hugo Sotelo Gomez,95,La Liga-Celta Vigo-Hugo Sotelo Gomez
La Liga,Celta Vigo,Williot Swedberg,19,20,Suecia,2500000,La Liga-Celta Vigo-Williot Swedberg,La Liga-Celta Vigo-Williot Theo Swedberg,95,La Liga-Celta Vigo-Williot Theo Swedberg
La Liga,Celta Vigo,Jonathan Bamba,17,27,"Costa de Marfil, Francia",14000000,La Liga-Celta Vigo-Jonathan Bamba,La Liga-Celta Vigo-Jonathan Fousseni Bamba,95,La Liga-Celta Vigo-Jonathan Fousseni Bamba
La Liga,Celta Vigo,Franco Cervi,11,29,"Argentina, Italia",2000000,La Liga-Celta Vigo-Franco Cervi,La Liga-Celta Vigo-Franco Emanuel Cervi,95,La Liga-Celta Vigo-Franco Emanuel Cervi
La Liga,Celta Vigo,Hugo Alvarez,33,20,Espana,300000,La Liga-Celta Vigo-Hugo Alvarez,La Liga-Celta Vigo-Hugo Alvarez Antunez,95,La Liga-Celta Vigo-Hugo Alvarez Antunez
La Liga,Celta Vigo,Tadeo Allende,9,25,"Argentina, Italia",4500000,La Liga-Celta Vigo-Tadeo Allende,La Liga-Celta Vigo-Tadeo Allende,100,La Liga-Celta Vigo-Tadeo Allende
La Liga,Celta Vigo,Carles Perez,7,26,Espana,4000000,La Liga-Celta Vigo-Carles Perez,La Liga-Celta Vigo-Carles Perez Sayol,95,La Liga-Celta Vigo-Carles Perez Sayol
La Liga,Celta Vigo,Miguel Rodriguez,24,20,Espana,900000,La Liga-Celta Vigo-Miguel Rodriguez,La Liga-Celta Vigo-Miguel Rodriguez Vidal,95,La Liga-Celta Vigo-Miguel Rodriguez Vidal
La Liga,Celta Vigo,Jorgen Strand Larsen,18,24,Noruega,15000000,La Liga-Celta Vigo-Jorgen Strand Larsen,La Liga-Celta Vigo-Jorgen Strand Larsen,100,La Liga-Celta Vigo-Jorgen Strand Larsen
La Liga,Celta Vigo,Anastasios Douvikas,12,24,Grecia,9000000,La Liga-Celta Vigo-Anastasios Douvikas,La Liga-Celta Vigo-Anastasios Douvikas,100,La Liga-Celta Vigo-Anastasios Douvikas
La Liga,Celta Vigo,Iago Aspas,10,36,Espana,4000000,La Liga-Celta Vigo-Iago Aspas,La Liga-Celta Vigo-Iago Aspas Juncal,95,La Liga-Celta Vigo-Iago Aspas Juncal
La Liga,Barcelona,Marc-Andre ter Stegen,1,31,Alemania,35000000,La Liga-Barcelona-Marc-Andre ter Stegen,La Liga-Barcelona-Marc-Andre ter Stegen,100,La Liga-Barcelona-Marc-Andre ter Stegen
La Liga,Barcelona,Jules Kounde,23,25,"Francia, Benin",60000000,La Liga-Barcelona-Jules Kounde,La Liga-Barcelona-Jules Olivier Kounde,95,La Liga-Barcelona-Jules Olivier Kounde
La Liga,Barcelona,Andreas Christensen,15,27,Dinamarca,40000000,La Liga-Barcelona-Andreas Christensen,La Liga-Barcelona-Andreas Bodtker Christensen,95,La Liga-Barcelona-Andreas Bodtker Christensen
La Liga,Barcelona,Inigo Martinez,5,32,Espana,8000000,La Liga-Barcelona-Inigo Martinez,La Liga-Barcelona-Inigo Martinez Berridi,95,La Liga-Barcelona-Inigo Martinez Berridi
La Liga,Barcelona,Pau Cubarsi,33,17,Espana,1500000,La Liga-Barcelona-Pau Cubarsi,La Liga-Barcelona-Pau Cubarsi Paredes,95,La Liga-Barcelona-Pau Cubarsi Paredes
La Liga,Barcelona,Alejandro Balde,3,20,"Espana, Republica Dominicana",50000000,La Liga-Barcelona-Alejandro Balde,La Liga-Barcelona-Alejandro Balde Martinez,95,La Liga-Barcelona-Alejandro Balde Martinez
La Liga,Barcelona,Marcos Alonso,17,33,Espana,3000000,La Liga-Barcelona-Marcos Alonso,La Liga-Barcelona-Marcos Alonso Mendoza,95,La Liga-Barcelona-Marcos Alonso Mendoza
La Liga,Barcelona,Joao Cancelo,2,29,Portugal,40000000,La Liga-Barcelona-Joao Cancelo,La Liga-Barcelona-Joao Pedro Cavaco Cancelo,95,La Liga-Barcelona-Joao Pedro Cavaco Cancelo
La Liga,Barcelona,Hector Fort,39,17,Espana,1000000,La Liga-Barcelona-Hector Fort,La Liga-Barcelona-Hector Fort Garcia,95,La Liga-Barcelona-Hector Fort Garcia
La Liga,Barcelona,Frenkie de Jong,21,26,Paises Bajos,80000000,La Liga-Barcelona-Frenkie de Jong,La Liga-Barcelona-Frenkie de Jong,100,La Liga-Barcelona-Frenkie de Jong
La Liga,Barcelona,Ilkay Gundogan,22,33,Alemania,18000000,La Liga-Barcelona-Ilkay Gundogan,La Liga-Barcelona-Ilkay Gundogan,100,La Liga-Barcelona-Ilkay Gundogan
La Liga,Barcelona,Fermin Lopez,16,20,Espana,15000000,La Liga-Barcelona-Fermin Lopez,La Liga-Barcelona-Fermin Lopez Martin,95,La Liga-Barcelona-Fermin Lopez Martin
La Liga,Barcelona,Sergi Roberto,20,32,Espana,3000000,La Liga-Barcelona-Sergi Roberto,La Liga-Barcelona-Sergi Roberto Carnicer,95,La Liga-Barcelona-Sergi Roberto Carnicer
La Liga,Barcelona,Joao Felix,14,24,Portugal,40000000,La Liga-Barcelona-Joao Felix,La Liga-Barcelona-Joao Felix Sequeira,95,La Liga-Barcelona-Joao Felix Sequeira
La Liga,Barcelona,Ferran Torres,7,24,Espana,35000000,La Liga-Barcelona-Ferran Torres,La Liga-Barcelona-Ferran Torres Garcia,95,La Liga-Barcelona-Ferran Torres Garcia
La Liga,Barcelona,Lamine Yamal,27,16,"Espana, Guinea Ecuatorial",60000000,La Liga-Barcelona-Lamine Yamal,La Liga-Barcelona-Lamine Yamal Nasraoui Ebana,90,La Liga-Barcelona-Lamine Yamal Nasraoui Ebana
La Liga,Barcelona,Vitor Roque,19,19,Brasil,40000000,La Liga-Barcelona-Vitor Roque,La Liga-Barcelona-Vitor Hugo Roque Ferreira,95,La Liga-Barcelona-Vitor Hugo Roque Ferreira
La Liga,Barcelona,Robert Lewandowski,9,35,Polonia,20000000,La Liga-Barcelona-Robert Lewandowski,La Liga-Barcelona-Robert Lewandowski,100,La Liga-Barcelona-Robert Lewandowski
La Liga,Barcelona,Marc Guiu,38,18,Espana,2500000,La Liga-Barcelona-Marc Guiu,La Liga-Barcelona-Marc Guiu Paz,95,La Liga-Barcelona-Marc Guiu Paz
La Liga,Athletic Club,Unai Simon,1,26,Espana,25000000,La Liga-Athletic Club-Unai Simon,La Liga-Athletic Club-Unai Simon Mendibil,95,La Liga-Athletic Club-Unai Simon Mendibil
La Liga,Athletic Club,Aitor Paredes,4,23,Espana,12000000,La Liga-Athletic Club-Aitor Paredes,La Liga-Athletic Club-Aitor Paredes Casamichana,95,La Liga-Athletic Club-Aitor Paredes Casamichana
La Liga,Athletic Club,Yeray Alvarez,5,29,Espana,10000000,La Liga-Athletic Club-Yeray Alvarez,La Liga-Athletic Club-Yeray Alvarez Lopez,95,La Liga-Athletic Club-Yeray Alvarez Lopez
La Liga,Athletic Club,Yuri Berchiche,17,34,"Espana, Argelia",2000000,La Liga-Athletic Club-Yuri Berchiche,La Liga-Athletic Club-Yuri Berchiche Izeta,95,La Liga-Athletic Club-Yuri Berchiche Izeta
La Liga,Athletic Club,Imanol Garcia de Albeniz,19,23,Espana,1500000,La Liga-Athletic Club-Imanol Garcia de Albeniz,La Liga-Athletic Club-Imanol Garcia de Albeniz Crecente,95,La Liga-Athletic Club-Imanol Garcia de Albeniz Crecente
La Liga,Athletic Club,Inigo Lekue,15,30,Espana,3000000,La Liga-Athletic Club-Inigo Lekue,La Liga-Athletic Club-Inigo Lekue Martinez,95,La Liga-Athletic Club-Inigo Lekue Martinez
La Liga,Athletic Club,Oscar de Marcos,18,34,Espana,1800000,La Liga-Athletic Club-Oscar de Marcos,La Liga-Athletic Club-Oscar de Marcos Arana,95,La Liga-Athletic Club-Oscar de Marcos Arana
La Liga,Athletic Club,Mikel Vesga,6,30,Espana,5000000,La Liga-Athletic Club-Mikel Vesga,La Liga-Athletic Club-Mikel Vesga Arruti,95,La Liga-Athletic Club-Mikel Vesga Arruti
La Liga,Athletic Club,Inigo Ruiz de Galarreta,16,30,Espana,5000000,La Liga-Athletic Club-Inigo Ruiz de Galarreta,La Liga-Athletic Club-Inigo Ruiz de Galarreta Etxeberria,95,La Liga-Athletic Club-Inigo Ruiz de Galarreta Etxeberria
La Liga,Athletic Club,Benat Prados,24,23,Espana,3000000,La Liga-Athletic Club-Benat Prados,La Liga-Athletic Club-Benat Prados Diaz,95,La Liga-Athletic Club-Benat Prados Diaz
La Liga,Athletic Club,Ander Herrera,21,34,Espana,2500000,La Liga-Athletic Club-Ander Herrera,La Liga-Athletic Club-Ander Herrera Aguera,95,La Liga-Athletic Club-Ander Herrera Aguera
La Liga,Athletic Club,Mikel Jauregizar,31,20,Espana,200000,La Liga-Athletic Club-Mikel Jauregizar,La Liga-Athletic Club-Mikel Jauregizar Alboniga,95,La Liga-Athletic Club-Mikel Jauregizar Alboniga
La Liga,Athletic Club,Oihan Sancet,8,23,Espana,35000000,La Liga-Athletic Club-Oihan Sancet,La Liga-Athletic Club-Oihan Sancet Tirapu,95,La Liga-Athletic Club-Oihan Sancet Tirapu
La Liga,Athletic Club,Iker Muniain,10,31,Espana,6000000,La Liga-Athletic Club-Iker Muniain,La Liga-Athletic Club-Iker Muniain Goni,95,La Liga-Athletic Club-Iker Muniain Goni
La Liga,Athletic Club,Unai Gomez,30,20,Espana,1500000,La Liga-Athletic Club-Unai Gomez,La Liga-Athletic Club-Unai Gomez Etxebarria,95,La Liga-Athletic Club-Unai Gomez Etxebarria
La Liga,Athletic Club,Inaki Williams,9,29,"Ghana, Espana",25000000,La Liga-Athletic Club-Inaki Williams,La Liga-Athletic Club-Inaki Arthuer Dannis Williams,95,La Liga-Athletic Club-Inaki Arthuer Dannis Williams
La Liga,Athletic Club,Gorka Guruzeta,12,27,Espana,10000000,La Liga-Athletic Club-Gorka Guruzeta,La Liga-Athletic Club-Gorka Guruzeta Rodriguez,95,La Liga-Athletic Club-Gorka Guruzeta Rodriguez
La Liga,Athletic Club,Asier Villalibre,20,26,Espana,2500000,La Liga-Athletic Club-Asier Villalibre,La Liga-Athletic Club-Asier Villalibre Molina,95,La Liga-Athletic Club-Asier Villalibre Molina
La Liga,Athletic Club,Raul Garcia,22,37,Espana,2000000,La Liga-Athletic Club-Raul Garcia,La Liga-Athletic Club-Raul Garcia Escudero,95,La Liga-Athletic Club-Raul Garcia Escudero
La Liga,Getafe,David Soria,13,30,Espana,8000000,La Liga-Getafe-David Soria,La Liga-Getafe-David Soria Solis,95,La Liga-Getafe-David Soria Solis
La Liga,Getafe,Gaston Alvarez,4,23,Uruguay,10000000,La Liga-Getafe-Gaston Alvarez,La Liga-Getafe-Pedro Gaston Alvarez Sosa,95,La Liga-Getafe-Pedro Gaston Alvarez Sosa
La Liga,Getafe,Djene,2,32,Togo,4000000,La Liga-Getafe-Djene,La Liga-Getafe-Djene Dakonam Ortega,90,La Liga-Getafe-Djene Dakonam Ortega
La Liga,Getafe,Diego Rico,16,31,Espana,3500000,La Liga-Getafe-Diego Rico,La Liga-Getafe-Diego Rico Salguero,95,La Liga-Getafe-Diego Rico Salguero
La Liga,Getafe,Fabrizio Angileri,3,29,"Argentina, Italia",1500000,La Liga-Getafe-Fabrizio Angileri,La Liga-Getafe-Fabrizio German Angileri,95,La Liga-Getafe-Fabrizio German Angileri
La Liga,Getafe,Mauro Arambarri,8,28,"Uruguay, Espana",6000000,La Liga-Getafe-Mauro Arambarri,La Liga-Getafe-Mauro Wilney Arambarri Rosa,95,La Liga-Getafe-Mauro Wilney Arambarri Rosa
La Liga,Getafe,Nemanja Maksimovic,20,29,Serbia,6000000,La Liga-Getafe-Nemanja Maksimovic,La Liga-Getafe-Nemanja Maksimovic,100,La Liga-Getafe-Nemanja Maksimovic
La Liga,Getafe,Carles Alena,11,26,Espana,3000000,La Liga-Getafe-Carles Alena,La Liga-Getafe-Carles Alena Castillo,95,La Liga-Getafe-Carles Alena Castillo
La Liga,Getafe,Luis Milla,5,29,Espana,2500000,La Liga-Getafe-Luis Milla,La Liga-Getafe-Luis Milla Manzanares,95,La Liga-Getafe-Luis Milla Manzanares
La Liga,Getafe,Oscar Rodriguez,9,25,Espana,2500000,La Liga-Getafe-Oscar Rodriguez,La Liga-Getafe-Oscar Rodriguez Arnaiz,95,La Liga-Getafe-Oscar Rodriguez Arnaiz
La Liga,Getafe,Mason Greenwood,12,22,"Inglaterra, Jamaica",7500000,La Liga-Getafe-Mason Greenwood,La Liga-Getafe-Mason Will John Greenwood,95,La Liga-Getafe-Mason Will John Greenwood
La Liga,Getafe,Borja Mayoral,19,26,Espana,15000000,La Liga-Getafe-Borja Mayoral,La Liga-Getafe-Borja Mayoral Moya,95,La Liga-Getafe-Borja Mayoral Moya
La Liga,Getafe,Jaime Mata,7,35,Espana,1000000,La Liga-Getafe-Jaime Mata,La Liga-Getafe-Jaime Mata Arnaiz,95,La Liga-Getafe-Jaime Mata Arnaiz
La Liga,Las Palmas,Alvaro Valles,13,26,Espana,8000000,La Liga-Las Palmas-Alvaro Valles,La Liga-Las Palmas-Alvaro Valles Rosa,95,La Liga-Las Palmas-Alvaro Valles Rosa
La Liga,Las Palmas,Mika Marmol,15,22,Espana,5000000,La Liga-Las Palmas-Mika Marmol,La Liga-Las Palmas-Mika Marmol Medina,95,La Liga-Las Palmas-Mika Marmol Medina
La Liga,Las Palmas,Eric Curbelo,6,30,Espana,900000,La Liga-Las Palmas-Eric Curbelo,La Liga-Las Palmas-Eric Curbelo de la Fe,95,La Liga-Las Palmas-Eric Curbelo de la Fe
La Liga,Las Palmas,Sergi Cardona,3,24,Espana,3000000,La Liga-Las Palmas-Sergi Cardona,La Liga-Las Palmas-Sergi Cardona Bermudez,95,La Liga-Las Palmas-Sergi Cardona Bermudez
La Liga,Las Palmas,Daley Sinkgraven,18,28,Paises Bajos,1500000,La Liga-Las Palmas-Daley Sinkgraven,La Liga-Las Palmas-Daley Sinkgraven,100,La Liga-Las Palmas-Daley Sinkgraven
La Liga,Las Palmas,Julian Araujo,28,22,"Mexico, Estados Unidos",6000000,La Liga-Las Palmas-Julian Araujo,La Liga-Las Palmas-Julian Vicente Araujo Zuniga,95,La Liga-Las Palmas-Julian Vicente Araujo Zuniga
La Liga,Las Palmas,Alvaro Lemos,14,30,Espana,800000,La Liga-Las Palmas-Alvaro Lemos,La Liga-Las Palmas-Alvaro Lemos Collazo,95,La Liga-Las Palmas-Alvaro Lemos Collazo
La Liga,Las Palmas,Maximo Perrone,8,21,"Argentina, Espana",7500000,La Liga-Las Palmas-Maximo Perrone,La Liga-Las Palmas-Maximo Perrone,100,La Liga-Las Palmas-Maximo Perrone
La Liga,Las Palmas,Nuke Mfulu,22,29,"RD del Congo, Francia",800000,La Liga-Las Palmas-Nuke Mfulu,La Liga-Las Palmas-Omenuke Mfulu,95,La Liga-Las Palmas-Omenuke Mfulu
La Liga,Las Palmas,Enzo Loiodice,12,23,Francia,3000000,La Liga-Las Palmas-Enzo Loiodice,La Liga-Las Palmas-Enzo Lilian Marin Loiodice,95,La Liga-Las Palmas-Enzo Lilian Marin Loiodice
La Liga,Las Palmas,Jose Campana,21,30,Espana,2500000,La Liga-Las Palmas-Jose Campana,La Liga-Las Palmas-Jose Angel Gomez Campana,95,La Liga-Las Palmas-Jose Angel Gomez Campana
La Liga,Las Palmas,Fabio Gonzalez,25,27,Espana,600000,La Liga-Las Palmas-Fabio Gonzalez,La Liga-Las Palmas-Fabio Gonzalez Estupinan,95,La Liga-Las Palmas-Fabio Gonzalez Estupinan
La Liga,Las Palmas,Alberto Moleiro,10,20,"Espana, Cuba",10000000,La Liga-Las Palmas-Alberto Moleiro,La Liga-Las Palmas-Alberto Moleiro Gonzalez,95,La Liga-Las Palmas-Alberto Moleiro Gonzalez
La Liga,Las Palmas,Kirian Rodriguez,20,28,Espana,6000000,La Liga-Las Palmas-Kirian Rodriguez,La Liga-Las Palmas-Kirian Rodriguez Concepcion,95,La Liga-Las Palmas-Kirian Rodriguez Concepcion
La Liga,Las Palmas,Benito Ramirez,11,28,Espana,500000,La Liga-Las Palmas-Benito Ramirez,La Liga-Las Palmas-Benito Ramirez del Toro,95,La Liga-Las Palmas-Benito Ramirez del Toro
